[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=370688
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=-8248318472910187742 size=4 origin=(-288,-256) minY=-64 height=384
[COMP] fluid_level_floodedness 272 0.578033
[COMP] fluid_level_floodedness 276 0.583152
[COMP] fluid_level_floodedness 280 0.585031
[COMP] fluid_level_floodedness 284 0.583767
[COMP] fluid_level_floodedness 288 0.579497
[COMP] fluid_level_floodedness 292 0.572403
[COMP] fluid_level_floodedness 296 0.562707
[COMP] fluid_level_floodedness 300 0.550675
[COMP] fluid_level_floodedness 304 0.536611
[COMP] fluid_level_floodedness 308 0.520862
[COMP] fluid_level_floodedness 312 0.503810
[COMP] fluid_level_floodedness 316 0.485873
[COMP] fluid_level_spread -64 -0.492070
[COMP] fluid_level_spread -60 -0.578939
[COMP] fluid_level_spread -56 -0.644266
[COMP] fluid_level_spread -52 -0.682124
[COMP] fluid_level_spread -48 -0.683550
[COMP] fluid_level_spread -44 -0.644959
[COMP] fluid_level_spread -40 -0.571401
[COMP] fluid_level_spread -36 -0.474196
[COMP] fluid_level_spread -32 -0.362933
[COMP] fluid_level_spread -28 -0.232978
[COMP] fluid_level_spread -24 -0.074836
[COMP] fluid_level_spread -20 0.098315
[COMP] fluid_level_spread -16 0.263636
[COMP] fluid_level_spread -12 0.410378
[COMP] fluid_level_spread -8 0.524221
[COMP] fluid_level_spread -4 0.583725
[COMP] fluid_level_spread 0 0.574796
[COMP] fluid_level_spread 4 0.498198
[COMP] fluid_level_spread 8 0.369413
[COMP] fluid_level_spread 12 0.210858
[COMP] fluid_level_spread 16 0.036758
[COMP] fluid_level_spread 20 -0.150499
[COMP] fluid_level_spread 24 -0.336085
[COMP] fluid_level_spread 28 -0.505566
[COMP] fluid_level_spread 32 -0.629560
[COMP] fluid_level_spread 36 -0.669003
[COMP] fluid_level_spread 40 -0.611742
[COMP] fluid_level_spread 44 -0.471505
[COMP] fluid_level_spread 48 -0.281688
[COMP] fluid_level_spread 52 -0.085511
[COMP] fluid_level_spread 56 0.077468
[COMP] fluid_level_spread 60 0.188448
[COMP] fluid_level_spread 64 0.259627
[COMP] fluid_level_spread 68 0.305450
[COMP] fluid_level_spread 72 0.337264
[COMP] fluid_level_spread 76 0.366422
[COMP] fluid_level_spread 80 0.392002
[COMP] fluid_level_spread 84 0.407535
[COMP] fluid_level_spread 88 0.407657
[COMP] fluid_level_spread 92 0.391090
[COMP] fluid_level_spread 96 0.360065
[COMP] fluid_level_spread 100 0.316193
[COMP] fluid_level_spread 104 0.252803
[COMP] fluid_level_spread 108 0.162453
[COMP] fluid_level_spread 112 0.068185
[COMP] fluid_level_spread 116 -0.001568
[COMP] fluid_level_spread 120 -0.021297
[COMP] fluid_level_spread 124 0.015192
[COMP] fluid_level_spread 128 0.095187
[COMP] fluid_level_spread 132 0.194143
[COMP] fluid_level_spread 136 0.282742
[COMP] fluid_level_spread 140 0.333907
[COMP] fluid_level_spread 144 0.329749
[COMP] fluid_level_spread 148 0.268469
[COMP] fluid_level_spread 152 0.161581
[COMP] fluid_level_spread 156 0.008456
[COMP] fluid_level_spread 160 -0.167244
[COMP] fluid_level_spread 164 -0.334723
[COMP] fluid_level_spread 168 -0.469314
[COMP] fluid_level_spread 172 -0.547792
[COMP] fluid_level_spread 176 -0.558008
[COMP] fluid_level_spread 180 -0.503751
[COMP] fluid_level_spread 184 -0.403996
[COMP] fluid_level_spread 188 -0.286546
[COMP] fluid_level_spread 192 -0.176067
[COMP] fluid_level_spread 196 -0.077757
[COMP] fluid_level_spread 200 0.016992
[COMP] fluid_level_spread 204 0.107980
[COMP] fluid_level_spread 208 0.174430
[COMP] fluid_level_spread 212 0.189280
[COMP] fluid_level_spread 216 0.145969
[COMP] fluid_level_spread 220 0.055716
[COMP] fluid_level_spread 224 -0.057969
[COMP] fluid_level_spread 228 -0.166383
[COMP] fluid_level_spread 232 -0.244350
[COMP] fluid_level_spread 236 -0.280547
[COMP] fluid_level_spread 240 -0.287389
[COMP] fluid_level_spread 244 -0.271768
[COMP] fluid_level_spread 248 -0.223319
[COMP] fluid_level_spread 252 -0.128613
[COMP] fluid_level_spread 256 0.007408
[COMP] fluid_level_spread 260 0.155230
[COMP] fluid_level_spread 264 0.277075
[COMP] fluid_level_spread 268 0.339979
[COMP] fluid_level_spread 272 0.324895
[COMP] fluid_level_spread 276 0.231816
[COMP] fluid_level_spread 280 0.080913
[COMP] fluid_level_spread 284 -0.090753
[COMP] fluid_level_spread 288 -0.259168
[COMP] fluid_level_spread 292 -0.429356
[COMP] fluid_level_spread 296 -0.579498
[COMP] fluid_level_spread 300 -0.666734
[COMP] fluid_level_spread 304 -0.667613
[COMP] fluid_level_spread 308 -0.581447
[COMP] fluid_level_spread 312 -0.428512
[COMP] fluid_level_spread 316 -0.244620
[COMP] lava -64 -0.238224
[COMP] lava -60 0.125006
[COMP] lava -56 0.172648
[COMP] lava -52 -0.383174
[COMP] lava -48 0.016467
[COMP] lava -44 -0.254120
[COMP] lava -40 0.263615
[COMP] lava -36 -0.301313
[COMP] lava -32 -0.241640
[COMP] lava -28 0.029038
[COMP] lava -24 0.216808
[COMP] lava -20 -0.193431
[COMP] lava -16 -0.419597
[COMP] lava -12 -0.297148
[COMP] lava -8 0.130588
[COMP] lava -4 -0.288700
[COMP] lava 0 -0.157273
[COMP] lava 4 0.238316
[COMP] lava 8 0.233211
[COMP] lava 12 0.003082
[COMP] lava 16 -0.092733
[COMP] lava 20 -0.180063
[COMP] lava 24 0.027846
[COMP] lava 28 0.087421
[COMP] lava 32 0.620949
[COMP] lava 36 -0.189677
[COMP] lava 40 0.154869
[COMP] lava 44 0.094224
[COMP] lava 48 -0.584357
[COMP] lava 52 -0.221584
[COMP] lava 56 -0.398924
[COMP] lava 60 0.224384
[COMP] lava 64 -0.472329
[COMP] lava 68 -0.216170
[COMP] lava 72 -0.257656
[COMP] lava 76 0.174463
[COMP] lava 80 -0.145613
[COMP] lava 84 -0.537054
[COMP] lava 88 0.475357
[COMP] lava 92 -0.303320
[COMP] lava 96 0.334893
[COMP] lava 100 -0.569959
[COMP] lava 104 -0.098667
[COMP] lava 108 -0.633308
[COMP] lava 112 0.308231
[COMP] lava 116 -0.429252
[COMP] lava 120 0.526477
[COMP] lava 124 0.033977
[COMP] lava 128 0.120111
[COMP] lava 132 0.428696
[COMP] lava 136 -0.163101
[COMP] lava 140 0.286547
[COMP] lava 144 0.205213
[COMP] lava 148 -0.526407
[COMP] lava 152 -0.313543
[COMP] lava 156 -0.171288
[COMP] lava 160 0.184915
[COMP] lava 164 0.131085
[COMP] lava 168 -0.105412
[COMP] lava 172 -0.032984
[COMP] lava 176 0.022145
[COMP] lava 180 -0.159732
[COMP] lava 184 -0.499666
[COMP] lava 188 -0.475229
[COMP] lava 192 0.132285
[COMP] lava 196 -0.227692
[COMP] lava 200 0.575931
[COMP] lava 204 -0.113538
[COMP] lava 208 -0.368137
[COMP] lava 212 0.306492
[COMP] lava 216 -0.334890
[COMP] lava 220 0.142688
[COMP] lava 224 -0.694250
[COMP] lava 228 -0.382316
[COMP] lava 232 -0.270881
[COMP] lava 236 0.525559
[COMP] lava 240 -0.070658
[COMP] lava 244 -0.196143
[COMP] lava 248 0.053452
[COMP] lava 252 -0.148199
[COMP] lava 256 -0.351167
[COMP] lava 260 0.241519
[COMP] lava 264 0.381358
[COMP] lava 268 -0.012037
[COMP] lava 272 -0.130087
[COMP] lava 276 0.209038
[COMP] lava 280 0.113330
[COMP] lava 284 -0.598189
[COMP] lava 288 0.251880
[COMP] lava 292 0.375609
[COMP] lava 296 0.375929
[COMP] lava 300 -0.026760
[COMP] lava 304 -0.666743
[COMP] lava 308 -0.174706
[COMP] lava 312 0.204147
[COMP] lava 316 0.393240
[COMP] vein_toggle -64 0.000000
[COMP] vein_toggle -60 -0.057285
[COMP] vein_toggle -56 -0.114570
[COMP] vein_toggle -52 -0.112121
[COMP] vein_toggle -48 -0.109672
[COMP] vein_toggle -44 -0.108962
[COMP] vein_toggle -40 -0.108252
[COMP] vein_toggle -36 -0.109128
[COMP] vein_toggle -32 -0.110004
[COMP] vein_toggle -28 -0.111902
[COMP] vein_toggle -24 -0.113800
[COMP] vein_toggle -20 -0.115626
[COMP] vein_toggle -16 -0.117451
[COMP] vein_toggle -12 -0.118475
[COMP] vein_toggle -8 -0.119499
[COMP] vein_toggle -4 -0.120229
[COMP] vein_toggle 0 -0.120959
[COMP] vein_toggle 4 -0.121897
[COMP] vein_toggle 8 -0.122835
[COMP] vein_toggle 12 -0.124322
[COMP] vein_toggle 16 -0.125808
[COMP] vein_toggle 20 -0.127962
[COMP] vein_toggle 24 -0.130116
[COMP] vein_toggle 28 -0.132743
[COMP] vein_toggle 32 -0.135370
[COMP] vein_toggle 36 -0.137834
[COMP] vein_toggle 40 -0.140298
[COMP] vein_toggle 44 -0.141361
[COMP] vein_toggle 48 -0.142424
[COMP] vein_toggle 52 -0.071212
[COMP] vein_toggle 56 0.000000
[COMP] vein_toggle 60 0.000000
[COMP] vein_toggle 64 0.000000
[COMP] vein_toggle 68 0.000000
[COMP] vein_toggle 72 0.000000
[COMP] vein_toggle 76 0.000000
[COMP] vein_toggle 80 0.000000
[COMP] vein_toggle 84 0.000000
[COMP] vein_toggle 88 0.000000
[COMP] vein_toggle 92 0.000000
[COMP] vein_toggle 96 0.000000
[COMP] vein_toggle 100 0.000000
[COMP] vein_toggle 104 0.000000
[COMP] vein_toggle 108 0.000000
[COMP] vein_toggle 112 0.000000
[COMP] vein_toggle 116 0.000000
[COMP] vein_toggle 120 0.000000
[COMP] vein_toggle 124 0.000000
[COMP] vein_toggle 128 0.000000
[COMP] vein_toggle 132 0.000000
[COMP] vein_toggle 136 0.000000
[COMP] vein_toggle 140 0.000000
[COMP] vein_toggle 144 0.000000
[COMP] vein_toggle 148 0.000000
[COMP] vein_toggle 152 0.000000
[COMP] vein_toggle 156 0.000000
[COMP] vein_toggle 160 0.000000
[COMP] vein_toggle 164 0.000000
[COMP] vein_toggle 168 0.000000
[COMP] vein_toggle 172 0.000000
[COMP] vein_toggle 176 0.000000
[COMP] vein_toggle 180 0.000000
[COMP] vein_toggle 184 0.000000
[COMP] vein_toggle 188 0.000000
[COMP] vein_toggle 192 0.000000
[COMP] vein_toggle 196 0.000000
[COMP] vein_toggle 200 0.000000
[COMP] vein_toggle 204 0.000000
[COMP] vein_toggle 208 0.000000
[COMP] vein_toggle 212 0.000000
[COMP] vein_toggle 216 0.000000
